# Telefonní číslo v normalizovaném tvaru obsahující pouze čísla (např. 420774567453)
# - Začátek hovoru ve tvaru dd-MM-yyyy HH:mm:ss
# - Konec hovoru ve tvaru dd-MM-yyyy HH:mm:ss

420774577453,13-01-2020 18:10:15,13-01-2020 18:12:57
420776562353,18-01-2020 08:59:20,18-01-2020 09:10:00

420777000001,17-08-2022 06:00:05,17-08-2022 06:10:40
420777000002,17-08-2022 09:00:02,17-08-2022 09:01:40
420777000003,17-08-2022 07:58:01,17-08-2022 08:03:20
420777000004,17-08-2022 07:58:01,17-08-2022 08:13:30

420777000005,17-08-2022 09:00:09,17-08-2022 09:03:40
420777000005,17-08-2022 07:00:07,17-08-2022 07:02:40
